Country,Date,"Gross domestic product per capita, constant prices","Gross domestic product, current prices","Inflation, average consumer prices",Unemployment rate,Export,Export Market Growth,Import,Net Trade
Germany,2011-12-01,3.925,3459.55,2.501,5.858,1365234475576.13,1367792919296.02,1165032620495.88,180666286018.74
Germany,2012-01-01,3.617833333333333,3466.3358333333335,2.471,5.817083333333333,1369286477035.9849,1369797955259.0635,1165555438480.8806,183642357410.1769
Germany,2012-02-01,3.3106666666666666,3473.121666666667,2.441,5.776166666666667,1373338478495.8398,1371802991222.1067,1166078256465.8816,186618428801.61383
Germany,2012-03-01,3.0035,3479.9075000000003,2.411,5.73525,1377390479955.6948,1373808027185.15,1166601074450.8823,189594500193.05075
Germany,2012-04-01,2.6963333333333335,3486.6933333333336,2.381,5.694333333333333,1381442481415.5498,1375813063148.1934,1167123892435.8833,192570571584.48767
Germany,2012-05-01,2.3891666666666667,3493.479166666667,2.351,5.653416666666667,1385494482875.4048,1377818099111.2368,1167646710420.884,195546642975.9246
Germany,2012-06-01,2.082,3500.2650000000003,2.3209999999999997,5.6125,1389546484335.2598,1379823135074.28,1168169528405.8848,198522714367.3615
Germany,2012-07-01,1.7748333333333335,3507.0508333333332,2.291,5.571583333333333,1393598485795.115,1381828171037.3232,1168692346390.8857,201498785758.7984
Germany,2012-08-01,1.4676666666666667,3513.8366666666666,2.261,5.530666666666667,1397650487254.97,1383833207000.3667,1169215164375.8865,204474857150.23532
Germany,2012-09-01,1.1604999999999999,3520.6225,2.231,5.48975,1401702488714.825,1385838242963.4102,1169737982360.8875,207450928541.67224
Germany,2012-10-01,0.8533333333333335,3527.4083333333333,2.201,5.448833333333333,1405754490174.68,1387843278926.4534,1170260800345.8882,210426999933.10916
Germany,2012-11-01,0.5461666666666667,3534.1941666666667,2.1710000000000003,5.407916666666667,1409806491634.535,1389848314889.4966,1170783618330.8892,213403071324.54608
Germany,2012-12-01,0.239,3540.98,2.141,5.367,1413858493094.39,1391853350852.54,1171306436315.89,216379142715.983
Germany,2013-01-01,0.23216666666666666,3547.4508333333333,2.0965,5.355833333333333,1415249591818.2131,1395594202738.0493,1174038587879.5916,216482172703.81885
Germany,2013-02-01,0.22533333333333333,3553.9216666666666,2.052,5.344666666666667,1416640690542.0366,1399335054623.5583,1176770739443.2932,216585202691.65466
Germany,2013-03-01,0.2185,3560.3925,2.0075,5.3335,1418031789265.8599,1403075906509.0674,1179502891006.9949,216688232679.4905
Germany,2013-04-01,0.21166666666666667,3566.8633333333332,1.963,5.322333333333333,1419422887989.6833,1406816758394.5767,1182235042570.6965,216791262667.32632
Germany,2013-05-01,0.2048333333333333,3573.3341666666665,1.9184999999999999,5.311166666666667,1420813986713.5066,1410557610280.086,1184967194134.3982,216894292655.16217
Germany,2013-06-01,0.198,3579.8050000000003,1.874,5.3,1422205085437.33,1414298462165.595,1187699345698.1,216997322642.998
Germany,2013-07-01,0.19116666666666665,3586.2758333333336,1.8295,5.288833333333333,1423596184161.1533,1418039314051.104,1190431497261.8018,217100352630.83383
Germany,2013-08-01,0.18433333333333332,3592.746666666667,1.785,5.277666666666667,1424987282884.9766,1421780165936.6133,1193163648825.5034,217203382618.66968
Germany,2013-09-01,0.1775,3599.2175,1.7405,5.2665,1426378381608.8,1425521017822.1226,1195895800389.205,217306412606.5055
Germany,2013-10-01,0.17066666666666666,3605.6883333333335,1.696,5.255333333333333,1427769480332.6233,1429261869707.6316,1198627951952.9067,217409442594.34134
Germany,2013-11-01,0.16383333333333333,3612.159166666667,1.6515,5.244166666666667,1429160579056.4468,1433002721593.1406,1201360103516.6084,217512472582.17715
Germany,2013-12-01,0.157,3618.63,1.607,5.233,1430551677780.27,1436743573478.65,1204092255080.31,217615502570.013
Germany,2014-01-01,0.29325,3631.0233333333335,1.5365,5.21425,1436139185234.94,1441522939266.4683,1207977287328.8843,221003434496.74216
Germany,2014-02-01,0.4295,3643.416666666667,1.466,5.1955,1441726692689.61,1446302305054.2866,1211862319577.4585,224391366423.47134
Germany,2014-03-01,0.5657500000000001,3655.81,1.3955,5.17675,1447314200144.28,1451081670842.105,1215747351826.0325,227779298350.2005
Germany,2014-04-01,0.7020000000000001,3668.2033333333334,1.325,5.1579999999999995,1452901707598.95,1455861036629.9233,1219632384074.6067,231167230276.92966
Germany,2014-05-01,0.83825,3680.596666666667,1.2545,5.13925,1458489215053.62,1460640402417.7417,1223517416323.181,234555162203.65884
Germany,2014-06-01,0.9745000000000001,3692.99,1.1840000000000002,5.1205,1464076722508.29,1465419768205.56,1227402448571.755,237943094130.388
Germany,2014-07-01,1.1107500000000001,3705.383333333333,1.1135000000000002,5.10175,1469664229962.96,1470199133993.3782,1231287480820.329,241331026057.11716
Germany,2014-08-01,1.247,3717.7766666666666,1.0430000000000001,5.083,1475251737417.6301,1474978499781.1965,1235172513068.9033,244718957983.84634
Germany,2014-09-01,1.38325,3730.17,0.9725,5.0642499999999995,1480839244872.3,1479757865569.015,1239057545317.4775,248106889910.5755
Germany,2014-10-01,1.5195,3742.5633333333335,0.902,5.0455,1486426752326.97,1484537231356.8333,1242942577566.0518,251494821837.30466
Germany,2014-11-01,1.65575,3754.9566666666665,0.8315,5.02675,1492014259781.6401,1489316597144.6516,1246827609814.6257,254882753764.0338
